ID,Name,Hours,Phone,Address,Latitude,Longitude
1,Northeast,,312-744-0784,"2019 Lawrence Avenue
Chicago, IL 60625
",41.9687225469,-87.680192382
2,Southwest,,312-747-0440,"6117 Kedzie Avenue
Chicago, IL 60629
",41.7821299198,-87.7031976495
3,Northwest,,312-744-6681,"3160 Milwaukee Avenue
Chicago, IL 60618
",41.9383689835,-87.7226883248
4,Central West,,312-746-5300,"2102 Ogden Avenue
Chicago, IL 60612
",41.8710429941,-87.6785982482
5,Southeast,,312-747-0189,"1767 79th Street
Chicago, IL 60649
",41.7515129435,-87.5819826459
6,Renaissance Court,,312-744-4550,"78 Washington Street
Chicago, IL 60602
",41.8838541586,-87.6249552419
7,Abbott Park,,312-745-3493,"49 95th Street
Chicago, IL 60619
",41.7216588599,-87.6223623885
8,Edgewater,,312-744-4016,"5917 Broadway Street
Chicago, IL 60660
",41.9894833691,-87.660143328
9,Englewood,,312-745-3328,"653 657 W 63rd Street
Chicago, IL 60621
",41.779925314,-87.6330832428
10,West Town,,312-743-1016,"1613 Chicago Avenue
Chicago, IL 60622
",41.8957521891,-87.6682665908
11,Kelvyn Park,,312-744-4016,"2715 Cicero Avenue
Chicago, IL 60639
",41.9299084397,-87.7460669395
12,Auburn Gresham,,312-745-4798,"1040 79th Street
Chicago, IL 60620
",41.7505772162,-87.6502906179
13,Norwood Park,,312-744-4016,"5801 Natoma Avenue
Chicago, IL 60631
",41.9865317763,-87.7941234622
14,Garfield Ridge,,312-745-4250,"B Archer Avenue
Chicago, IL 60638
",41.7972264346,-87.7531547102
15,Chatham,,312-745-0385,"8300 Cottage Grove Avenue
Chicago, IL 60619
",41.7433440848,-87.6055388793
16,Austin,,312-743-1538,"5071 Congress Parkway
Chicago, IL 60644
",41.8739338463,-87.7520518412
17,Truman College,,312-744-4016,"1145 Wilson Avenue
Chicago, IL 60640
",41.965371722,-87.6590156155
18,North Center,,312-745-4029,"4040 Oakley Avenue
Chicago, IL 60618
",41.95484987,-87.6860880461
19,Portage Park,,312-744-9022,"4100 Long Avenue
Chicago, IL 60641
",41.9549757316,-87.7621023199
