SUMLEV,PLACE,CHGOCA,TRACT,GEOGRAPHIC AREA,Total All Ages,Total All ages Uninsured Number,Total All ages Uninsured Percent,Total Under 17  ,Total Under 17 Uninsured Number,Total Under 17 Uninsured Percent,Total 18 to 64  ,Total 18 to 64 Uninsured Number,Total 18 to 64 Uninsured Percent,Total 65 and over  ,Total 65 and over Uninsured Number,Total 65 and over Uninsured Percent,White NL All ages  ,White NL All ages Uninsured Number,White NL All ages Uninsured Percent,White NL Under 17  ,White NL Under 17 Uninsured Number,White NL Under 17 Uninsured Percent,White NL 18 to 64  ,White NL 18 to 64 Uninsured Number,White NL 18 to 64 Uninsured Percent,White NL 65 and over  ,White NL 65 and over Uninsured Number,White NL 65 and over Uninsured Percent,Latino All ages  ,Latino All ages Uninsured Number,Latino All ages Uninsured Percent,Latino Under 17  ,Latino Under 17 Uninsured Number,Latino Under 17 Uninsured Percent,Latino 18 to 64  ,Latino 18 to 64 Uninsured Number,Latino 18 to 64 Uninsured Percent,Latino 65 and over  ,Latino 65 and over Uninsured Number,Latino 65 and over Uninsured Percent,Other NL All ages  ,Other NL All ages Uninsured Number,Other NL All ages Uninsured Percent,Other NL Under 17  ,Other NL Under 17 Uninsured Number,Other NL Under 17 Uninsured Percent,Other NL 18 to 64  ,Other NL 18 to 64 Uninsured Number,Other NL 18 to 64 Uninsured Percent,Other NL 65 and over  ,Other NL 65 and over Uninsured Number,Other NL 65 and over Uninsured Percent,Black All ages  ,Black All ages Uninsured Number,Black All ages Uninsured Percent,Black Under 17  ,Black Under 17 Uninsured Number,Black Under 17 Uninsured Percent,Black 18 to 64  ,Black 18 to 64 Uninsured Number,Black 18 to 64 Uninsured Percent,Black 65 and over  ,Black 65 and over Uninsured Number,Black 65 and over Uninsured Percent,AmInd All ages  ,AmInd All ages Uninsured Number,AmInd All ages Uninsured Percent,AmInd Under 17  ,AmInd Under 17 Uninsured Number,AmInd Under 17 Uninsured Percent,AmInd 18 to 64  ,AmInd 18 to 64 Uninsured Number,AmInd 18 to 64 Uninsured Percent,AmInd 65 and over  ,AmInd 65 and over Uninsured Number,AmInd 65 and over Uninsured Percent,Asian All ages  ,Asian All ages Uninsured Number,Asian All ages Uninsured Percent,Asian Under 17  ,Asian Under 17 Uninsured Number,Asian Under 17 Uninsured Percent,Asian 18 to 64  ,Asian 18 to 64 Uninsured Number,Asian 18 to 64 Uninsured Percent,Asian 65 and over  ,Asian 65 and over Uninsured Number,Asian 65 and over Uninsured Percent,PacIs All ages  ,PacIs All ages Uninsured Number,PacIs All ages Uninsured Percent,PacIs Under 17  ,PacIs Under 17 Uninsured Number,PacIs Under 17 Uninsured Percent,PacIs 18 to 64  ,PacIs 18 to 64 Uninsured Number,PacIs 18 to 64 Uninsured Percent,PacIs 65 and over  ,PacIs 65 and over Uninsured Number,PacIs 65 and over Uninsured Percent,   ,Total Total  ,Total Total Uninsured Number,Total Total Uninsured Percent,Total Native Born,Total Native-Born Uninsured Number,Total Native-Born Uninsured Percent,Total Foreign Born  ,Total Foreign-Born Uninsured Number,Total Foreign-Born Uninsured Percent,Total FB Citizen  ,Total FB Citizen Uninsured Number,Total Foreign-Born Citizen Uninsured Percent,Total FB Noncitizen  ,Total FB Noncitizen Uninsured Number,Total Foreign-Born Noncitizen Uninsured Percent,   ,Total 19 to 25  ,Total 19 to 25 Uninsured Number,Total 19 to 25 Uninsured Percent,Enrolled in school 19 to 25  ,Enrolled in school 19 to 25 Uninsured Number,Enrolled in school 19 to 25 Uninsured Percent,Not enrolled 19 to 25  ,Not enrolled 19 to 25 Uninsured Number,Not enrolled 19 to 25 Uninsured Percent,,Total All levels All ages  ,Total All levels All ages Uninsured Number,Total All levels All ages Uninsured Percent,Total Under 138% All ages  ,Total Under 138% All ages Uninsured Number,Total Under 138% All ages Uninsured Percent,Total Under 138% Under 18  ,Total Under 138% Under 18 Uninsured Number,Total Under 138% Under18 Uninsured Percent,Total Under 138% 18 to 64  ,Total Under 138% 18 to 64 Uninsured Number,Total Under 138% 18 to 64 Uninsured Percent,Total Under 138% 65 and over  ,Total Under 138% 65 and over Uninsured Number,Total Under 138% 65 and over Uninsured Percent,Total 138 to 199% All ages  ,Total 138 to 199% All ages Uninsured Number,Total 138 to 199% All ages Uninsured Percent,Total 138 to 199% Under 18  ,Total 138 to 199% Under 18 Uninsured Number,Total 138 to 199% Under18 Uninsured Percent,Total 138 to 199% 18 to 64  ,Total 138 to 199% 18 to 64 Uninsured Number,Total 138 to 199% 18 to 64 Uninsured Percent,Total 138 to 199% 65 and over  ,Total 138 to 199% 65 and over Uninsured Number,Total 138 to 199% 65 and over Uninsured Percent,Total 200 to 399% All ages  ,Total 200 to 399% All ages Uninsured Number,Total 200 to 399% All ages Uninsured Percent,Total 200 to 399% Under 18  ,Total 200 to 399% Under 18 Uninsured Number,Total 200 to 399% Under18 Uninsured Percent,Total 200 to 399% 18 to 64  ,Total 200 to 399% 18 to 64 Uninsured Number,Total 200 to 399% 18 to 64 Uninsured Percent,Total 200 to 399% 65 and over  ,Total 200 to 399% 65 and over Uninsured Number,Total 200 to 399% 65 and over Uninsured Percent,Total 400% and over All ages  ,Total 400% and over All ages Uninsured Number,Total 400% and over All ages Uninsured Percent,Total 400% and over Under 18  ,Total 400% and over Under 18 Uninsured Number,Total 400% and over Under18 Uninsured Percent,Total 400% and over 18 to 64  ,Total 400% and over 18 to 64 Uninsured Number,Total 400% and over 18 to 64 Uninsured Percent,Total 400% and over 65 and over  ,Total 400% and over 65 and over Uninsured Number,Total 400% and over 65 and over Uninsured Percent
160,14000,100,,City of Chicago,2678908,525365,0.196,621330,35918,0.058,1781691,482448,0.271,275887,6999,0.025,857671,96629,0.113,106504,3678,0.035,637808,91808,0.144,113359,1143,0.010,765493,224533,0.293,245023,16908,0.069,480510,204452,0.425,39960,3173,0.079,1055744,204203,0.193,269803,15332,0.057,663373,186188,0.281,122568,2683,0.022,876495,169991,0.194,237132,13552,0.057,533697,154772,0.290,105666,1667,0.016,7328,1754,0.239,1476,27,0.018,5305,1709,0.322,547,18,0.033,149513,29840,0.200,22741,1417,0.062,111515,27466,0.246,15257,957,0.063,734,136,0.185,133,41,0.308,568,95,0.167,33,0,0.000,,2678908,525365,0.196,2108991,304429,0.144,569917,220936,0.388,229828,41582,0.181,340089,179354,0.527,,311563,110026,0.353,124509,31389,0.252,187054,78637,0.420,,2654785,523764,0.197,827267,234707,0.284,272702,17966,0.066,477539,213384,0.447,77026,3357,0.044,334069,94638,0.283,90106,6978,0.077,202571,86470,0.427,41392,1190,0.029,697199,139371,0.200,139043,7792,0.056,476019,130018,0.273,82137,1561,0.019,796250,55048,0.069,112910,2559,0.023,608008,51598,0.085,75332,891,0.012
070,14000,01,,Rogers Park,56493,14340,0.254,11436,755,0.066,41370,13462,0.325,3687,123,0.033,21255,3341,0.157,1590,104,0.065,17732,3237,0.183,1933,0,0.000,14202,6517,0.459,4530,517,0.114,9253,5940,0.642,419,60,0.143,21036,4482,0.213,5316,134,0.025,14385,4285,0.298,1335,63,0.047,16080,3875,0.241,4343,187,0.043,10850,3662,0.338,887,26,0.029,110,52,0.473,30,0,0.000,80,52,0.650,0,0,0.000,3880,642,0.165,538,0,0.000,2893,605,0.209,449,37,0.082,14,14,1.000,0,0,0.000,14,14,1.000,0,0,0.000,,56493,14340,0.254,39968,6721,0.168,16525,7619,0.461,5215,1163,0.223,11310,6456,0.571,,8562,3108,0.363,4331,725,0.167,4231,2383,0.563,,55070,14322,0.260,19894,6734,0.338,5298,415,0.078,12904,6270,0.486,1692,49,0.029,6632,2456,0.370,1667,198,0.119,4647,2258,0.486,318,0,0.000,13533,4055,0.300,2091,121,0.058,10676,3897,0.365,766,37,0.048,15011,1077,0.072,2261,17,0.008,11839,1023,0.086,911,37,0.041
070,14000,02,,West Ridge,72744,17174,0.236,19036,1200,0.063,44917,15282,0.340,8791,692,0.079,31205,3985,0.128,7100,239,0.034,18891,3746,0.198,5214,0,0.000,15215,5310,0.349,4876,327,0.067,8994,4590,0.510,1345,393,0.292,26324,7879,0.299,7060,634,0.090,17032,6946,0.408,2232,299,0.134,8000,2036,0.255,2680,293,0.109,4899,1585,0.324,421,158,0.375,257,99,0.385,33,0,0.000,187,99,0.529,37,0,0.000,17120,5520,0.322,3955,332,0.084,11492,5070,0.441,1673,118,0.071,8,0,0.000,0,0,0.000,8,0,0.000,0,0,0.000,,72744,17174,0.236,39541,4757,0.120,33203,12417,0.374,15695,3126,0.199,17508,9291,0.531,,6865,3286,0.479,3022,1404,0.465,3843,1882,0.490,,72693,17174,0.236,21591,6959,0.322,7614,628,0.082,11636,5952,0.512,2341,379,0.162,10953,3350,0.306,3326,122,0.037,6641,3137,0.472,986,91,0.092,20521,4820,0.235,4539,357,0.079,13265,4375,0.330,2717,88,0.032,19628,2045,0.104,3520,93,0.026,13361,1818,0.136,2747,134,0.049
070,14000,03,,Uptown,53670,10920,0.203,6561,377,0.057,42015,10347,0.246,5094,196,0.038,27985,3194,0.114,2032,81,0.040,23269,3063,0.132,2684,50,0.019,6945,2877,0.414,1091,154,0.141,5463,2723,0.498,391,0,0.000,18740,4849,0.259,3438,142,0.041,13283,4561,0.343,2019,146,0.072,10904,3107,0.285,2291,120,0.052,7929,2919,0.368,684,68,0.099,249,89,0.357,38,0,0.000,192,89,0.464,19,0,0.000,6381,1387,0.217,698,0,0.000,4461,1329,0.298,1222,58,0.047,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,,53670,10920,0.203,40129,6187,0.154,13541,4733,0.350,6269,1091,0.174,7272,3642,0.501,,5571,1612,0.289,2062,448,0.217,3509,1164,0.332,,53569,10920,0.204,17092,5211,0.305,2416,152,0.063,12088,4921,0.407,2588,138,0.053,4899,1530,0.312,982,10,0.010,3474,1520,0.438,443,0,0.000,10717,2545,0.237,1008,85,0.084,8735,2449,0.280,974,11,0.011,20861,1634,0.078,2082,130,0.062,17690,1457,0.082,1089,47,0.043
070,14000,04,,Lincoln Square,38116,6457,0.169,6318,201,0.032,28459,6206,0.218,3339,50,0.015,24042,3141,0.131,2972,92,0.031,18832,3043,0.162,2238,6,0.003,7442,2120,0.285,1983,97,0.049,4931,2011,0.408,528,12,0.023,6632,1196,0.180,1363,12,0.009,4696,1152,0.245,573,32,0.056,1727,186,0.108,348,0,0.000,1338,186,0.139,41,0,0.000,242,64,0.264,26,0,0.000,203,64,0.315,13,0,0.000,4023,852,0.212,702,4,0.006,2863,816,0.285,458,32,0.070,48,0,0.000,0,0,0.000,48,0,0.000,0,0,0.000,,38116,6457,0.169,27773,3166,0.114,10343,3291,0.318,5118,1263,0.247,5225,2028,0.388,,2768,821,0.297,1046,301,0.288,1722,520,0.302,,38116,6457,0.169,7067,2399,0.339,1444,24,0.017,4877,2357,0.483,746,18,0.024,4185,1179,0.282,943,19,0.020,2709,1150,0.425,533,10,0.019,10223,1635,0.160,1466,39,0.027,7716,1596,0.207,1041,0,0.000,16641,1244,0.075,2465,119,0.048,13157,1103,0.084,1019,22,0.022
070,14000,05,,North Center,33402,2980,0.089,6243,50,0.008,24658,2915,0.118,2501,15,0.006,26332,1638,0.062,5097,23,0.005,19671,1600,0.081,1564,15,0.010,4376,981,0.224,611,27,0.044,3195,954,0.299,570,0,0.000,2694,361,0.134,535,0,0.000,1792,361,0.201,367,0,0.000,556,107,0.192,104,0,0.000,380,107,0.282,72,0,0.000,81,22,0.272,0,0,0.000,81,22,0.272,0,0,0.000,1400,146,0.104,97,0,0.000,1044,146,0.140,259,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,,33402,2980,0.089,29587,2246,0.076,3815,734,0.192,2520,312,0.124,1295,422,0.326,,2847,637,0.224,1026,253,0.247,1821,384,0.211,,33372,2980,0.089,2933,996,0.340,195,50,0.256,2389,946,0.396,349,0,0.000,1908,529,0.277,197,0,0.000,1317,529,0.402,394,0,0.000,7223,889,0.123,1257,0,0.000,5249,889,0.169,717,0,0.000,21308,566,0.027,4564,0,0.000,15703,551,0.035,1041,15,0.014
070,14000,06,,Lake View,96425,8940,0.093,9801,112,0.011,80096,8778,0.110,6528,50,0.008,76966,5985,0.078,6969,44,0.006,64862,5917,0.091,5135,24,0.005,7262,1324,0.182,1067,48,0.045,5710,1276,0.223,485,0,0.000,12197,1631,0.134,1765,20,0.011,9524,1585,0.166,908,26,0.029,3603,772,0.214,282,20,0.071,3032,742,0.245,289,10,0.035,221,26,0.118,11,0,0.000,195,26,0.133,15,0,0.000,6708,692,0.103,804,0,0.000,5302,676,0.127,602,16,0.027,32,0,0.000,0,0,0.000,32,0,0.000,0,0,0.000,,96425,8940,0.093,84855,6837,0.081,11570,2103,0.182,6013,689,0.115,5557,1414,0.254,,19197,2551,0.133,7228,1241,0.172,11969,1310,0.109,,96324,8940,0.093,14813,3951,0.267,1189,63,0.053,12232,3852,0.315,1392,36,0.026,5915,1143,0.193,478,0,0.000,4583,1143,0.249,854,0,0.000,19701,2353,0.119,827,34,0.041,17517,2305,0.132,1357,14,0.010,55895,1493,0.027,7281,15,0.002,45689,1478,0.032,2925,0,0.000
070,14000,07,,Lincoln Park,64028,3488,0.054,8871,67,0.008,50638,3421,0.068,4519,0,0.000,52342,2544,0.049,6549,67,0.010,42018,2477,0.059,3775,0,0.000,4127,271,0.066,998,0,0.000,2812,271,0.096,317,0,0.000,7559,673,0.089,1324,0,0.000,5808,673,0.116,427,0,0.000,2636,339,0.129,435,0,0.000,1928,339,0.176,273,0,0.000,149,0,0.000,32,0,0.000,111,0,0.000,6,0,0.000,3728,273,0.073,506,0,0.000,3113,273,0.088,109,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,,64028,3488,0.054,57494,2826,0.049,6534,662,0.101,3267,200,0.061,3267,462,0.141,,13540,1084,0.080,6044,477,0.079,7496,607,0.081,,61618,3279,0.053,9083,1502,0.165,668,22,0.033,7499,1480,0.197,916,0,0.000,2988,297,0.099,229,0,0.000,2208,297,0.135,551,0,0.000,9770,997,0.102,1037,40,0.039,7903,957,0.121,830,0,0.000,39777,483,0.012,6836,0,0.000,30719,483,0.016,2222,0,0.000
070,14000,08,,Near North Side,80315,5711,0.071,5892,192,0.033,62190,5355,0.086,12233,164,0.013,57678,2582,0.045,2549,101,0.040,44669,2433,0.054,10460,48,0.005,4475,879,0.196,368,42,0.114,3770,807,0.214,337,30,0.089,18162,2250,0.124,2975,49,0.016,13751,2115,0.154,1436,86,0.060,7593,1326,0.175,1928,6,0.003,4708,1279,0.272,957,41,0.043,225,0,0.000,22,0,0.000,203,0,0.000,0,0,0.000,8780,666,0.076,645,0,0.000,7741,621,0.080,394,45,0.114,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,,80315,5711,0.071,66170,3906,0.059,14145,1805,0.128,6967,493,0.071,7178,1312,0.183,,10819,1056,0.098,4615,496,0.107,6204,560,0.090,,78942,5631,0.071,13227,2650,0.200,2047,6,0.003,9175,2552,0.278,2005,92,0.046,2901,683,0.235,169,64,0.379,2023,619,0.306,709,0,0.000,11753,1388,0.118,903,85,0.094,8899,1258,0.141,1951,45,0.023,51061,910,0.018,2742,37,0.013,40751,846,0.021,7568,27,0.004
070,14000,09,,Edison Park,11135,891,0.080,2266,0,0.000,7202,874,0.121,1667,17,0.010,10265,880,0.086,1978,0,0.000,6717,863,0.128,1570,17,0.011,500,11,0.022,161,0,0.000,276,11,0.040,63,0,0.000,370,0,0.000,127,0,0.000,209,0,0.000,34,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,242,0,0.000,104,0,0.000,128,0,0.000,10,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,,11135,891,0.080,9685,628,0.065,1450,263,0.181,1170,120,0.103,280,143,0.511,,762,116,0.152,375,89,0.237,387,27,0.070,,11135,891,0.080,614,94,0.153,91,0,0.000,354,94,0.266,169,0,0.000,881,226,0.257,126,0,0.000,521,209,0.401,234,17,0.073,2693,241,0.089,633,0,0.000,1467,241,0.164,593,0,0.000,6947,330,0.048,1416,0,0.000,4860,330,0.068,671,0,0.000
