Community Area Id,Community Area Name,All Uninsured,By Age: 0 to 17 Uninsured,By Age: 18 to 64 Uninsured,By Age: 65 and over Uninsured,By Race: White Uninsured,By Race: Latino Uninsured,By Race: Black Uninsured,By Race: Asian Uninsured,By Nativity: Native-Born Uninsured,By Nativity: Foreign-Born Uninsured,By Nativity: Foreign-Born Citizen Uninsured,By Nativity: Foreign-Born Noncitizen Uninsured,By School Enrollment: 19 to 25 Uninsured,By School Enrollment: Enrolled 19 to 25 Uninsured,By School Enrollment: Not enrolled 19 to 25 Uninsured,By Income: Under 138% of Poverty Line Uninsured,By Income: 138 to 199% of Poverty Line Uninsured,By Income: 200 to 399% of Poverty Line Uninsured,By Income: 400% and over Poverty Line Uninsured
100,City of Chicago,0.196,0.058,0.271,0.025,0.113,0.293,0.194,0.200,0.144,0.388,0.181,0.527,0.353,0.252,0.420,0.284,0.283,0.200,0.069
01,Rogers Park,0.254,0.066,0.325,0.033,0.157,0.459,0.241,0.165,0.168,0.461,0.223,0.571,0.363,0.167,0.563,0.338,0.370,0.300,0.072
02,West Ridge,0.236,0.063,0.340,0.079,0.128,0.349,0.255,0.322,0.120,0.374,0.199,0.531,0.479,0.465,0.490,0.322,0.306,0.235,0.104
03,Uptown,0.203,0.057,0.246,0.038,0.114,0.414,0.285,0.217,0.154,0.350,0.174,0.501,0.289,0.217,0.332,0.305,0.312,0.237,0.078
04,Lincoln Square,0.169,0.032,0.218,0.015,0.131,0.285,0.108,0.212,0.114,0.318,0.247,0.388,0.297,0.288,0.302,0.339,0.282,0.160,0.075
05,North Center,0.089,0.008,0.118,0.006,0.062,0.224,0.192,0.104,0.076,0.192,0.124,0.326,0.224,0.247,0.211,0.340,0.277,0.123,0.027
06,Lake View,0.093,0.011,0.110,0.008,0.078,0.182,0.214,0.103,0.081,0.182,0.115,0.254,0.133,0.172,0.109,0.267,0.193,0.119,0.027
07,Lincoln Park,0.054,0.008,0.068,0.000,0.049,0.066,0.129,0.073,0.049,0.101,0.061,0.141,0.080,0.079,0.081,0.165,0.099,0.102,0.012
08,Near North Side,0.071,0.033,0.086,0.013,0.045,0.196,0.175,0.076,0.059,0.128,0.071,0.183,0.098,0.107,0.090,0.200,0.235,0.118,0.018
09,Edison Park,0.080,0.000,0.121,0.010,0.086,0.022,0.000,0.000,0.065,0.181,0.103,0.511,0.152,0.237,0.070,0.153,0.257,0.089,0.048
10,Norwood Park,0.095,0.046,0.140,0.001,0.085,0.144,0.077,0.136,0.065,0.201,0.094,0.428,0.248,0.129,0.360,0.211,0.154,0.130,0.048
11,Jefferson Park,0.163,0.069,0.221,0.038,0.144,0.144,0.084,0.354,0.094,0.337,0.187,0.519,0.404,0.296,0.482,0.244,0.250,0.195,0.083
12,Forest Glen,0.053,0.015,0.084,0.000,0.038,0.064,0.167,0.114,0.042,0.105,0.079,0.229,0.162,0.158,0.168,0.140,0.270,0.053,0.017
13,North Park,0.152,0.036,0.230,0.017,0.094,0.278,0.096,0.173,0.084,0.259,0.135,0.461,0.246,0.218,0.303,0.229,0.183,0.145,0.105
14,Albany Park,0.315,0.058,0.437,0.043,0.180,0.419,0.174,0.255,0.131,0.528,0.270,0.672,0.510,0.355,0.629,0.398,0.351,0.357,0.128
