ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20850,HW239986,04/20/2013 12:10:00 AM,033XX W IRVING PARK RD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1733,017,35,16,01A,1153123,1926349,2013,04/20/2013 07:11:12 AM,41.95375265452088,-87.71249964659731,"(41.95375265452088, -87.71249964659731)"
20849,HW239763,04/19/2013 08:26:00 PM,011XX N MENARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1511,015,29,25,01A,1137447,1906809,2013,04/20/2013 05:45:06 AM,41.90042989156341,-87.77059847066563,"(41.90042989156341, -87.77059847066563)"
20848,HW229411,04/15/2013 01:36:00 PM,025XX W FITCH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,2411,024,50,2,01A,1157830,1947308,2013,04/20/2013 05:36:20 AM,42.01117024341038,-87.69462161914542,"(42.01117024341038, -87.69462161914542)"
20846,HW231363,04/13/2013 01:35:00 PM,012XX W 97TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,2213,022,21,73,01A,1169538,1840560,2013,04/14/2013 06:48:10 AM,41.717997454590666,-87.65464829727459,"(41.717997454590666, -87.65464829727459)"
20844,HW230943,04/13/2013 09:05:00 AM,042XX W IRVING PARK RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1731,017,38,16,01A,1147651,1926212,2013,04/14/2013 06:16:40 AM,41.953483729341926,-87.73261899483416,"(41.953483729341926, -87.73261899483416)"
20845,HW230945,04/13/2013 03:12:00 AM,033XX W BEACH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1422,014,26,23,01A,1153715,1909476,2013,04/14/2013 06:44:05 AM,41.90744001784807,-87.71077376539422,"(41.90744001784807, -87.71077376539422)"
20843,HW230759,04/12/2013 11:12:00 PM,087XX S BURLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0424,004,7,46,01A,1199145,1847701,2013,04/15/2013 07:29:03 AM,41.73690130673429,-87.54597178426108,"(41.73690130673429, -87.54597178426108)"
20847,HW229606,04/12/2013 08:30:00 AM,067XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,0831,008,18,66,01A,1156174,1859503,2013,04/18/2013 05:54:57 AM,41.770258834944386,-87.70308771493387,"(41.770258834944386, -87.70308771493387)"
20842,HW227786,04/10/2013 09:03:00 PM,120XX S NORMAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0523,005,34,53,01A,1175093,1825169,2013,04/11/2013 07:08:25 AM,41.67564028706404,-87.63475972208744,"(41.67564028706404, -87.63475972208744)"
20841,HW223960,04/08/2013 09:29:00 AM,074XX S DORCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,003,5,43,01A,1186873,1855831,2013,04/09/2013 06:30:47 AM,41.7595101180996,-87.59067477451073,"(41.7595101180996, -87.59067477451073)"
