hospital_id,year,hospital_name,address_street,address_city,address_zip,health_service_area,hospital_planning_area,county,ownership_type,ownership_detail,critical_access,long_term_acute_care,class_general,class_rehabilitation,class_childrens_specialty,class_psychiatric,admin_name,admin_title,admin_telephon,admin_email,date_received,contact_name,contact_title,contact_telephone,contact_email,hospital_operator,physical_plant_owner,mgmt_contracts_acute_mental_illness,mgmt_contracts_rehabilitation_services,mgmt_contracts_emergency_medical_services,facility_comments,agency_comments,data_certification_name,data_certification_title,data_certification_date
5165,2012,Advocate Illinois Masonic Medical Center,836 West Wellington,Chicago,60657,6,A-01,Cook,Church-Related,,,,General Hospital,,,,Susan Nordstrom Lopez,President,(773) 296-7081,susan.nordstrom.lopez@advocatehealth.com,41362.47332,Lauren Nikiforak,Sr Financial Analyst,(773) 296-5239,lauren.nikiforak@advocatehealth.com,Advocate Northside Health Network DBA Advocate Ill,Advocate Northside Health Network DBA Advocate Ill,,Rehabilitation Institute of Chicago,,"• Advocate Illinois Masonic Medical Center is a Disproportionate Share Hospital  • The Community Benefits and Charity Care information is expected to be reported by June 30, 2013.  • Page 7-8: Use of Urology as a Cystoscopy Room was defined in CON 12-065.",,Susan Nordstrom Lopez,President,41362
4176,2012,Advocate Trinity Hospital,2320 East 93rd Street,Chicago,60617,6,A-03,Cook,Church-Related,,,,General Hospital,,,,Jonathan R. Bruss,"President, Advocate Trinity Hospital",(773) 967-5070,jon.bruss@advocatehealth.com,41365.74618,Maureen A. Morrison,"V.P. of Finance, Advocate Trinity Hospital",(773) 967-5050,maureen.morrison@advocatehealth.com,ADVOCATE HEALTH AND HOSPITAL CORPORATION,ADVOCATE HEALTH AND HOSPITAL CORPORATION,Dr. Thodur Ranganathan,,"Emergency Room Providers, SC","The Community Benefits and Charity Care information is expected to be reported by June 30, 2013.  GAAP change for 2012 - net patient service revenue reported with bad debt included as part of net patient service revenue. Not included in expenses as in previous years.  Page 3-Question C. ICU  1. In 2011 there were 112 patients in ""holding bed"" in the ED receiving ICU care not reported in the 423 number. That would have brought the total to 535. In 2012 the patients receiving ICU care in ""holding beds"" were 122. This would make the total 563.  2. Transfers from other departments to ICU were not reported in the past. We are now reporting transfers in ICU going forward. The amount for 2011 = 447 and 2012 transfers = 462.  Page 8-Question IIIA:  1. The number of pain rooms reported in 2011 = 1 and in 2012 = 2. The increase is because 2 rooms are now shared between venous access, interventional radiology and cardiac cath lab to improve patient flow.  2. The number of procedures for pain management dropped in 2011 due to a physician leaving the service area. This physician returned in 2012 and volumes returned to levels experienced prior to leave.",,Jonathan R. Bruss,"President, Advocate Trinity Hospital",41364
5843,2012,Ann & Robert H. Lurie Children's Hospital of Chica,225 E. Chicago Avenue,Chicago,60611,6,A-01,Cook,Not for Profit Corporation (Not Church-Related),,,,,,Children's Speciality Care Hospital,,Patrick M. Magoon,President & CEO,312-227-4000,pmagoon@luriechildrens.org,41362.5487,Carl Rinder,Senior Business Analyst,312-217-7424,crinder@luriechildrens.org,Ann & Robert H. Lurie Children's Hospital of Chica,Ann & Robert H. Lurie Children's Hospital of Chica,,,,"1.  Net revenue by payor, page 16: totals include supplemental payments and disproportionate share assessments in 'Medicaid' category, federal payments for graduate medical education in 'Other Public' category.",,Patrick M. Magoon,President & CEO,41362
5207,2012,Aurora Chicago Lakeshore Hospital,4840 North Marine Drive,Chicago,60640,6,A-01,Cook,Limited Liability Company,,,,,,,Psychiatric Hospital,C. Alan Eaks,CEO,773-907-4600,alan.eaks@chicagolakeshorehospital.com,41363.36735,Erin Borders,Director Support Services,773-907-4534,aeaks@chicagolakeshorehospital.com,aurora chicago lakeshore hospital llc,Illinois liife properties llc,,,,THE NUMBER OF CHARITY PATIENT SERVED IS ACTUALLY 101-THE COMPUTER WOULD NOT ACCPET THE ENTRY,,Erin Borders,Director of Support/ancillary Services,41363
0992,2012,Holy Cross Hospital,2701 West 68th Street,Chicago,60629,6,A-03,Cook,Church-Related,,,,General Hospital,,,,Loren F. Chandler,EVP/Chief Financial Officer,773-884-5150,lchandler@holycrosshospital.org,41362.59631,Debbie Wohler,Executive Assistant,773-884-1602,dwohler@holycrosshospital.org,Sisters of St. Casimir,Sisters of St. Casimir,,RehabCare LTD,Emergency Room Care Providers,,,Loren F Chandler,EVP/Chief Financial Officer,41362
1115,2012,Jackson Park Hosp. Foundation,7531 Stony Island Avenue,Chicago,60649,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,General Hospital,,,,Merritt Hasbrouck,President,773-947-7581,merritthasbrouck@jacksonpark.com,41366.02729,Barry Mandell,VP Special Projects,773-947-7701,barrymandell@jacksonpark.com,Jackson Park Hospital Foundation,Jackson Park Hospital Foundation,,,Illinois / Indiana Emergency Medical Services,,,Barry Mandell,VP Special Projects,41366
5272,2012,John H. Stroger Hospital of Cook County,1901 West Harrison Street - Suite 5650,Chicago,60612,6,A-02,Cook,County,,,,General Hospital,,,,"John Jay Shannon, M.D.",Interim Chief Operating Officer,(312) 864-6848,jjshannon@cookcountyhhs.org,41361.83264,Cheryl J. Mitchell,Administrative Analyst,(312) 864-5504,cmitchell1@cookcountyhhs.org,Cook County Health and Hospitals System,Cook County Government,,,,,,Cheryl J. Mitchell,Administrative Analyst,41361
4564,2012,Kindred Chicago Central Hospital,4058 West Melrose Street,Chicago,60641,6,A-01,Cook,For Profit Corporation,,,LongTerm Acute Care Hospital (LTACH),General Hospital,,,,Bruce Carey,CEO,773-481-5706,Herschel.Carey@kindred.com,41359.52914,John Yu,Controller,7730481-5719,john.yu@kindredhealthcare.com,Kindred Healthcare Inc,United Health Realty,,Rehabcare,,,,Bruce Carey,CEO,41359
4937,2012,Kindred Hospital  Chicago North,2544 West Montrose Avenue,Chicago,60618,6,A-01,Cook,For Profit Corporation,,,LongTerm Acute Care Hospital (LTACH),General Hospital,,,,Larry Foster,CEO,773-279-2684,Larry.Foster@kindredhealthcare.com,41358.46104,Gene Yakovenko,Controller,773-279-2685,Gene.Yakovenko@kindredhealthcare.com,"THC-Chicago, INC. DBA Kindred Hospital Chicago Nor","Ventas, INC.",,RehabCare,,,,Gene Yakovenko,Controller,41358
3012,2012,LaRabida Children's Hospital,6501 S. Promontory Drive,Chicago,60649,6,A-03,Cook,Not for Profit Corporation (Not Church-Related),,,,,,Children's Speciality Care Hospital,,Brenda Wolf,President and CEO,773-363-6700,BWOLF@LARABIDA.ORG,41367.60388,Anthony McWhorter,Director of Finance,773-256-5925,amcwhorter@larabida.org,La Rabida Children's Hospital,La Rabida Children's Hospital,,,,,,Anthony McWhorter,Director of Finance,41367
