hospital_id,hospital_name,provider_type,provider_sub_type,address_street,address_city,address_zip,ownership_type,contact_email,contact_phone,lat_long,description,hospital_phone,hospital_url,report_url,report_name, chna_url
0315,Advocate Christ Medical Center,Hospital,General Hospital,4440 West 95th Street,Oak Lawn,60453,Church-Related,wendy.mulvihill@advocatehealth.com,708-684-5765,"41.721957, -87.732137","A not-for-profit, 694-bed, premier teaching institution with nearly 1,200 affiliated physicians, Advocate Christ Medical Center serves as a major referral hospital in the Midwest for a number of specialties, including cardiovascular services; heart, lung and kidney transplantation; neurosciences; oncology; orthopedics; and women’s health.",(708) 684-8000,http://www.advocatehealth.com/cmc/,,,http://www.advocatehealth.com/documents/CHNA/ChristCHNAReport12-30-13.pdf
5165,Advocate Illinois Masonic Medical Center,Hospital,General Hospital,836 West Wellington,Chicago,60657,Church-Related,lauren.nikiforak@advocatehealth.com,(773) 296-5239,"41.9359703,-87.6741714","Advocate Illinois Masonic Medical Center is a 408-bed hospital in Chicago offering comprehensive inpatient services, including medical, surgical, obstetrics, and pediatric inpatient care, as well as multiple sites for outpatient care. We are home to a Level I Trauma Center and Level III Neonatal Intensive Care Unit, the highest designations awared by the state of Illinois.",(773) 975-1600,http://www.advocatehealth.com/immc/default.cfm,http://stream.advocatehealth.com/flashfiles/14SYSPR0533/publish/index.html,Advocate Annual Report,http://www.advocatehealth.com/documents/CHNA/IMMCCHNAReport1-14.pdf
4176,Advocate Trinity Hospital,Hospital,General Hospital,2320 East 93rd Street,Chicago,60617,Church-Related,maureen.morrison@advocatehealth.com,(773) 967-5050,"41.7267,-87.567169","Trinity Hospital cares for more than 90,000 patients each year with a full range of services including surgery, heart health, diabetes treatment, and cancer care. Our asthma program, a model for health care providers, uses a unique, team approach with medical professionals from various specialties working together. We take advantage of the latest diagnostic services including magnetic resonance imaging, ultrasound, mammography, computed tomography, and cardiac catheterization. In addition Trinity Hospitals offers outpatient rehabilitation services such as cardiac and pulmonary rehabilitation, and physical,occupational, and speech therapy.",(773) 967-2000,http://www.advocatehealth.com/trin/,http://stream.advocatehealth.com/flashfiles/14SYSPR0533/publish/index.html,Advocate Annual Report,http://www.advocatehealth.com/documents/CHNA/TrinityCHNAReport1-14.pdf
5843,Ann & Robert H. Lurie Children's Hospital of Chicago,Hospital,Children's Speciality Care Hospital,225 E. Chicago Avenue,Chicago,60611,Not for Profit Corporation (Not Church-Related),crinder@luriechildrens.org,312-217-7424,"41.8967452,-87.6216242","Ann & Robert H. Lurie Children’s Hospital of Chicago, formerly Children’s Memorial Hospital, provides superior pediatric care in a setting that offers the latest benefits and innovations in medical technology, research and family-friendly design.As the largest pediatric provider in the region with a 130 year legacy of excellence, kids and their families are at the center of all we do. Learn more about our family-centered approach to care.",(312) 227-4000,https://www.luriechildrens.org/en-us/Pages/index.aspx,https://www.luriechildrens.org/annualreport2013/#financials,Lurie Annual Report,https://www.luriechildrens.org/en-us/community/community-health-needs-assessment/Documents/chna-2013.pdf
5207,Aurora Chicago Lakeshore Hospital,Hospital,Psychiatric Hospital,4840 North Marine Drive,Chicago,60640,Limited Liability Company,aeaks@chicagolakeshorehospital.com,773-907-4534,"41.9703718,-87.6499477","Chicago Lakeshore Hospital provides treatment services to those struggling with alcoholism, chemical dependency and drug use, as well as including their families as an integral part of the multi-disciplinary team. Treatment services include screening, orientation, assessment, detox services, treatment planning, crisis intervention, consultation, inpatient and outpatient services, education, rehab, referral and individual and group counseling. Chicago Lakeshore Hospital specializes in the treatment of dual diagnosis - a combination of alcoholism/drug use/chemical dependency and a behavioral health issue or a mental health disorder, treatment of children, adolescents and adults, as well as comprehensive treatment for the LGBTQ community",(773) 878-9700,http://www.chicagolakeshorehospital.com/,,,
992,Holy Cross Hospital,Hospital,General Hospital,2701 West 68th Street,Chicago,60629,Church-Related,dwohler@holycrosshospital.org,773-884-1602,"41.769085,-87.691109","Holy Cross Hospital was sponsored by the Sisters of St. Casimir in 1928. The hospital began with a commitment to providing quality health care to all with compassion. Caring for the physical, emotional, and spiritual needs of community residents has always been our core mission. In recent years, Holy Cross Hospital has expanded and updated many services with new state of the art technology and equipment to better serve our patients. From new babies and their moms being cared for in our newly renovated Family Birth Center or patients receiving life saving care in the new Emergency Room, to the comforting care of Season’s Hospice, Holy Cross is your place for quality care near your home. Our excellent facilities, quality services, and highly skilled medical professionals are a just few of the reasons Holy Cross Hospital is able to deliver health care that you and your family deserve.",(773) 884-9000,http://www.holycrosshospital.org/,http://www.sinai.org/sites/default/files/Sinai_AR13_1009.POST.pdf,Mount Sinai 2013 Annual Report,http://www.sinai.org/sites/default/files/HCH_CHNA_0711_2.pdf
1115,Jackson Park Hosp. Foundation,Hospital,General Hospital,7531 Stony Island Avenue,Chicago,60649,Not for Profit Corporation (Not Church-Related),barrymandell@jacksonpark.com,773-947-7701,"41.7577136,-87.5856672","Jackson Park Hospital & Medical Center is a 269-bed acute, short-term comprehensive care facility serving the south side of Chicago. Jackson Park Hospital's service to the community goes back as far as World War I when it provided care to returning wounded veterans. The hospital offers a wide range of inpatient and outpatient diagnostic, therapeutic and ancillary services with a commitment to medical education at all levels. The hospital offers full medical, surgical, obstetric, pediatric, psychiatric, and medical stabilization (detox) services as well as medical sub-specialties including cardiology, pulmonary, gastrointestinal disease, renal, orthopedics, ENT, ophthalmology, infectious disease, HIV, hematology/oncology and geriatrics. Quality ambulatory care is provided through the family medicine center, senior health center and Korshak center (sub-specialty clinics, including an HIV clinic), conveniently located within the same premises.",(773) 947-7500,http://www.jacksonparkhospital.org/about-us/about-jph/,,,https://drive.google.com/file/d/0B4m0jrhlDNsKMDJJVmVWUnFGRUE/view
5272,John H. Stroger Hospital of Cook County,Hospital,General Hospital,1901 West Harrison Street - Suite 5650,Chicago,60612,County,cmitchell1@cookcountyhhs.org,(312) 864-5504,"41.873814,-87.67421","John H. Stroger, Jr. Hospital of Cook County is a teaching hospital that provides primary, specialty and tertiary healthcare services. The hospital has a staff of more than 300 attending physicians along with more than 400 medical residents and fellows. The hospital serves as the hub for the Cook County Health & Hospitals System for delivery of specialty and sub-specialty care. More than 40% of the hospital’s space is dedicated to an outpatient Specialty Care Center. The Level 1 Trauma Center is one of the most respected in the nation. The hospital’s adult emergency room treats over 110,000 patients annually. While the Pediatrics emergency room treats 45,000 children and adolescents each year with a no wait policy.",(312) 864-6000,http://www.cookcountyhhs.org/locations/john-h-stroger-jr-hospital/,,,
4564,Kindred Chicago Central Hospital,Hospital,Rehabilitation Hospital,4058 West Melrose Street,Chicago,60641,For Profit Corporation,john.yu@kindredhealthcare.com,7730481-5719,"41.940239,-87.72831","Kindred Chicago Central Hospital is a 102-bed transitional care hospital located on Chicago's northwest side near the I-90/94 Kennedy Expressway. Kindred Chicago Central provides intensive long-term acute care to medically complex patients and is certified by Medicare, accredited by The Joint Commission and licensed by the State of Illinois.",(773) 736-7000,http://www.khchicagocentral.com/,http://www.khchicagocentral.com/uploadedFiles/_Global_Content/Quality_Report/QualityReport2013.pdf,Kindred Central 2013 Annual Report,
4937,Kindred Hospital  Chicago North,Hospital,Rehabilitation Hospital,2544 West Montrose Avenue,Chicago,60618,For Profit Corporation,Gene.Yakovenko@kindredhealthcare.com,773-279-2685,"41.961555,-87.693245","Kindred Hospital Chicago - North is a 164-bed transitional care hospital that provides intensive long-term acute care to medically complex patients. It is accredited by The Joint Commission and licensed by the State of Illinois. Kindred Hospitals serve as the bridge for patients who are medically complex and require acute care, but are unable to recover completely in the traditional, short-term acute care hospital setting. It is our goal to help patients grow stronger and more stable before they are discharged home or to a lower level of care. We use a multidisciplinary team approach to care that helps our patients return to the highest quality of life possible.",(773) 267-2622,http://www.khchicagonorth.com/,http://www.khchicagonorth.com/uploadedFiles/_Global_Content/Quality_Report/QualityReport2013.pdf,Kindred North 2013 Annual Report,
