hospital_id,year,hospital_name,city,health_service_area,hospital_planning_area,county,report_start_date,report_end_date,revenue_data_source,inpatient_revenue_medicaid,inpatient_revenue_medicare,inpatient_revenue_other_public_payment,inpatient_revenue_private_insurance,inpatient_revenue_private payment,inpatient_revenue_total,actual_cost_inpatient_charity_care,outpatient_revenue_medicaid,outpatient_revenue_medicare,outpatient_revenue_other_public_payment,outpatient_revenue_private_insurance,outpatient_revenue_private_payment,outpatient_revenue_total,actual_cost_outpatient_charity_care
5165,2012,Advocate Illinois Masonic Medical Center,Chicago,6,A-01,Cook,01-Jan-12,31-Dec-12,Review or Compilation of the financial statements,"$26,667,604.00","$52,978,922.00","$26,815,428.00","$137,430,927.00","$12,100,743.00","$255,993,624.00","$9,528,000.00","$2,048,765.00","$16,940,888.00",$0.00,"$79,435,635.00","$788,986.00","$99,214,274.00","$4,281,000.00"
4176,2012,Advocate Trinity Hospital,Chicago,6,A-03,Cook,01-Jan-12,31-Dec-12,Audited Financial statements,"$21,823,149.00","$41,644,175.00",$0.00,"$37,185,378.00","$1,397,785.00","$102,050,487.00","$5,319,000.00","$3,083,687.00","$6,372,483.00",$0.00,"$35,544,365.00","$1,789,111.00","$46,789,646.00","$2,992,000.00"
5843,2012,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,6,A-01,Cook,01-Sep-11,31-Aug-12,Audited Financial statements,"$133,838,283.00","$1,217,072.00","$6,426,725.00","$175,377,274.00","$2,207,363.00","$319,066,717.00","$381,778.00","$40,501,293.00","$2,450,730.00","$5,228,269.00","$153,811,728.00","$3,447,318.00","$205,439,338.00","$645,143.00"
5207,2012,Aurora Chicago Lakeshore Hospital,Chicago,6,A-01,Cook,01-Jan-12,31-Dec-12,Review or Compilation of the financial statements,"$4,759,321.83","$5,411,302.31","$1,833,177.47","$6,952,618.61",$0.00,"$18,956,420.22","$870,540.04","$111,558.03","$772,187.00","$35,891.00","$2,317,583.54",$0.00,"$3,237,219.57",$0.00
0992,2012,Holy Cross Hospital,Chicago,6,A-03,Cook,01-Jul-11,30-Jun-12,Audited Financial statements,"$11,417,431.00","$37,328,371.00","$62,664.00","$9,735,617.00","$4,120,711.00","$62,664,794.00","$3,292,961.00","$3,053,573.00","$8,917,258.00","$31,747.00","$11,929,455.00","$7,815,183.00","$31,747,216.00","$3,664,948.00"
1115,2012,Jackson Park Hosp. Foundation,Chicago,6,A-03,Cook,01-Apr-11,31-Mar-12,Audited Financial statements,"$25,958,544.00","$25,588,975.00",$0.00,"$9,268,797.00","$13,097,534.00","$73,913,850.00","$5,316,744.00","$11,077,472.00","$10,919,765.00",$0.00,"$3,955,338.00","$5,589,203.00","$31,541,778.00","$2,705,630.00"
5272,2012,John H. Stroger Hospital of Cook County,Chicago,6,A-02,Cook,01-Dec-10,30-Nov-11,Audited Financial statements,"$416,872,970.00","$50,452,497.00",$0.00,"$11,709,471.00","$2,704,194.00","$481,739,132.00","$45,932,902.00","$17,545,669.00","$12,926,237.00",$0.00,"$1,838,300.00","$4,642,988.00","$36,953,194.00","$180,173,091.00"
4564,2012,Kindred Chicago Central Hospital,Chicago,6,A-01,Cook,01-Jan-12,31-Dec-12,Audited Financial statements,"$8,966,388.00","$15,564,029.00",$0.00,"$1,975,534.00","($30,354.00)","$26,475,597.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
4937,2012,Kindred Hospital  Chicago North,Chicago,6,A-01,Cook,01-Jan-12,31-Dec-12,Review or Compilation of the financial statements,"$41,992,770.00","$17,199,808.00",$0.00,"$6,475,086.00",$0.00,"$65,667,664.00","$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
3012,2012,LaRabida Children's Hospital,Chicago,6,A-03,Cook,01-Jul-11,30-Jun-12,Audited Financial statements,"$28,951,128.00",$0.00,"$183,238.00","$1,480,337.00","$55,355.00","$30,670,058.00","$3,615.00","$8,695,689.00",$0.00,$0.00,"$598,962.00","$132,451.00","$9,427,102.00","$9,371.00"
