hospital_id,hispanic,non_hispanic,unknown,total_admissions
5165,4926,10091,909,15926
4176,1296,10629,107,12032
5843,3666,7378,0,11044
5207,322,2351,571,3244
992,1166,8214,49,9429
1115,208,8647,6,8861
5272,5860,17539,21,23420
4564,163,432,47,642
4937,162,2019,58,2239
3012,57,650,12,719
1289,440,4302,2,4744
5249,613,5588,159,6360
1578,282,11717,2973,14972
125,315,4204,26,4545
1644,4975,11253,493,16721
3251,5283,40052,2528,47863
1727,2916,4484,158,7558
1719,2316,6694,0,9010
1974,128,11338,1437,12903
5181,163,9969,1901,12033
2584,1275,15957,107,17339
5314,146,3103,178,3427
4549,46,1582,5,1633
1958,68,2311,243,2622
5678,52,442,1,495
2063,73,4641,0,4714
1917,4927,26317,78,31322
4168,342,3353,12,3707
2147,189,1307,58,1554
3152,86,473,30,589
3459,140,3746,27,3913
5637,4067,3116,0,7183
2303,80,8198,39,8317
2717,2650,11329,964,14943
5371,1793,1804,246,3843
5454,569,2289,35,2893
3897,836,12074,11188,24098
5280,1144,17863,0,19007
