hospital_id,white,black,american_indian,asian,hawaii_pac_islander,unknown,total_admissions
5165,10759,3355,65,507,21,1219,15926
4176,890,10142,75,14,2,909,12032
5843,4466,1988,11,459,10,4110,11044
5207,1363,1260,15,35,0,571,3244
992,2607,6620,0,46,0,156,9429
1115,274,8375,2,11,0,199,8861
5272,5401,12921,2255,1122,70,1651,23420
4564,336,251,0,8,0,47,642
4937,418,1564,5,28,0,224,2239
3012,20,610,0,1,0,88,719
1289,660,4059,0,9,0,16,4744
5249,3308,1901,12,355,12,772,6360
1578,1971,9036,9,701,0,3255,14972
125,2231,2172,13,103,0,26,4545
1644,2118,10156,17,47,3,4380,16721
3251,27558,10560,41,1888,5,7811,47863
1727,886,3519,4,53,0,3096,7558
1719,4688,1017,16,159,9,3121,9010
1974,11005,207,5,244,5,1437,12903
5181,7315,2286,16,483,32,1901,12033
2584,4488,5103,12,202,28,7506,17339
5314,643,1676,0,18,7,1083,3427
4549,48,1537,7,11,12,18,1633
1958,1633,673,4,67,2,243,2622
5678,103,385,0,6,0,1,495
2063,155,4539,0,3,0,17,4714
1917,15395,11491,179,570,133,3554,31322
4168,282,3047,0,24,0,354,3707
2147,204,1141,1,12,0,196,1554
3152,405,54,5,29,0,96,589
3459,256,3629,0,1,0,27,3913
5637,600,2466,6,40,4,4067,7183
2303,178,8017,1,2,0,119,8317
2717,10298,1175,30,2469,7,964,14943
5371,1696,1500,19,369,13,246,3843
5454,977,1846,2,33,0,35,2893
3897,4592,9478,10,315,35,9668,24098
5280,3073,9701,45,368,0,5820,19007
