Location,Year,Total,Motor Vehicle Traffic Accidents,Other Transporation Accidents,"Accidental Poisoning by Drugs, Medicinal Substances, and Biologicals",Misadventures to Patients or Abnormal Reaction of Patient,Accidental Falls,Accidentally Struck by Objects,Accidents Caused by Cutting/Piercing Instruments or Objects,Overexertion or Strenuous Movements,All Other Accidents,"Drugs, Medicinal and Biological Substances (In Therapeutic Use)",Suicide and Self-Inflicted Injury,"Fight, Brawl, Rape",Other Homicide and Injury Purposely Inflicted by Other Persons,All Other External Causes of Injury
Chicago,2012,"212,557","22,969","4,714","1,284","5,646","56,698","20,930","14,105","15,316","41,579","3,677","1,072","6,862","12,321","5,384"
"60601,60602,60603,60604,60605 & 60611",2012,"3,474",243,112,36,124,"1,165",373,337,236,593,72,16,72,66,29
"60606,60607 & 60661",2012,"1,758",165,57,19,39,490,198,162,144,290,32,15,52,70,25
60608,2012,"4,815",414,143,28,167,"1,432",500,321,375,903,94,30,156,213,39
60609,2012,"4,893",408,111,22,186,"1,269",528,365,352,902,69,21,174,332,154
60610 & 60654,2012,"3,329",275,125,37,86,951,356,291,234,615,72,15,131,110,31
60612,2012,"3,331",454,66,17,118,741,335,207,274,654,50,14,152,192,57
60613,2012,"2,806",220,112,20,60,835,331,275,185,539,43,12,74,76,24
60614,2012,"3,609",225,170,21,70,"1,117",453,331,243,730,60,12,76,74,27
60615,2012,"2,881",292,35,16,96,750,241,117,159,560,34,17,68,229,267
60616,2012,"2,654",284,57,19,93,792,317,184,181,452,51,12,45,137,30
60617,2012,"7,363",846,124,21,198,"1,875",699,415,581,"1,343",155,35,367,539,165
60618,2012,"6,440",565,252,30,111,"1,890",660,481,491,"1,341",109,42,135,261,72
60619,2012,"6,075",791,71,31,187,"1,350",457,303,411,"1,101",90,15,215,568,485
60620,2012,"6,878",993,87,40,233,"1,616",575,363,571,"1,095",139,28,261,598,279
60621,2012,"4,543",436,64,22,130,970,292,178,243,757,37,17,178,552,667
60623,2012,"7,053",732,134,36,234,"1,670",743,449,545,"1,603",120,31,307,374,75
60624,2012,"4,850",745,67,31,193,976,450,240,313,"1,031",96,14,234,358,102
60625,2012,"5,201",490,257,26,85,"1,581",499,382,352,"1,002",93,50,126,213,45
60626,2012,"4,409",391,97,38,92,"1,172",405,310,310,"1,087",60,32,106,243,66
60628,2012,"6,495",840,77,35,225,"1,513",608,313,452,"1,345",173,25,217,512,160
60629,2012,"9,331",999,158,66,231,"2,434",897,728,772,"1,561",176,30,481,650,148
60630,2012,"3,945",397,103,17,62,"1,226",425,277,293,849,59,22,64,111,40
60631,2012,"2,286",180,36,*,46,783,281,144,174,503,35,*,41,39,15
60632,2012,"5,461",501,127,37,142,"1,553",566,443,403,"1,080",87,33,210,241,38
60634,2012,"5,799",612,106,38,112,"1,801",564,382,420,"1,199",77,41,113,223,111
60636,2012,"5,162",574,51,38,111,"1,062",354,326,353,809,108,30,353,553,440
60637,2012,"4,863",569,51,19,113,"1,084",251,215,268,946,61,13,145,622,506
60638,2012,"3,882",480,97,30,123,"1,121",452,310,334,579,72,31,110,114,29
60639,2012,"7,958",872,118,48,204,"2,113",817,538,591,"1,690",117,46,229,460,115
60640,2012,"4,573",383,130,35,147,"1,444",432,327,279,815,96,39,186,207,53
60641,2012,"5,728",562,137,29,133,"1,622",583,382,440,"1,261",73,45,136,228,97
60622 & 60642,2012,"5,505",509,157,34,124,"1,501",591,476,370,"1,164",71,26,163,254,65
60643,2012,"4,619",633,65,21,120,"1,244",418,236,342,827,117,20,104,256,216
60644,2012,"6,287",996,107,24,197,"1,317",694,340,396,"1,248",122,24,272,447,103
60645,2012,"3,769",406,69,30,69,"1,128",389,275,256,841,55,21,49,137,44
60646,2012,"1,944",154,49,*,39,635,274,144,148,381,30,*,23,36,12
60647,2012,"7,019",621,236,60,141,"1,966",709,512,491,"1,553",86,34,191,341,78
60649,2012,"4,006",541,52,13,124,"1,012",358,181,216,793,106,10,134,332,134
60651,2012,"7,640","1,071",121,60,215,"1,707",717,441,473,"1,735",114,34,303,548,101
60652,2012,"3,142",447,51,17,82,806,361,207,345,495,71,21,79,133,27
60653,2012,"2,817",348,42,17,83,774,290,105,213,508,51,10,68,224,84
60655,2012,"1,996",175,42,*,39,635,239,173,220,298,44,*,38,57,16
60656,2012,"1,927",222,30,*,38,585,215,118,150,441,24,*,31,40,16
60657,2012,"3,803",241,163,34,79,"1,163",419,398,245,815,63,11,65,86,21
60659,2012,"2,891",336,107,16,67,832,284,194,213,581,49,21,41,126,24
60660,2012,"2,511",246,78,24,48,766,237,158,192,508,51,20,56,100,27
60633,2012,836,85,13,*,30,229,93,51,67,156,13,*,31,39,25
