Location,Year,Total - All Types,Infectious and Parasitic Diseases,Neoplasms,"Endocrine, Nutritional and Metabolic Diseases, and Immunity Disorders",Diseases of the Blood and Blood-Forming Organs,"Psychotic Conditions, Other Psychoses, Disorders, and Intellectual Disabilities","Alcohol-Induced Disorders, Drug-Induced Disorders, Alcohol or Drug Dependence",Diseases of the Nervous System and Sense Organs,Diseases of the Circulatory System,Diseases of the Respiratory System,Diseases of the Digestive System,Diseases of the Genitourinary System,"Complications of Pregnancy, Childbirth, and the Puerperium",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Musculoskeletal System and Connective Tissue,Congenital Anomalies,Certain Conditions Originating in the Perinatal Period,"Symptoms, Signs, and Ill-Defined Conditions",Injury and Poisoning,Not Coded
CHICAGO,2012,"374,742","13,520","13,652","13,592","7,281","32,731","17,005","7,894","44,566","29,500","28,582","15,043","43,759","7,075","12,715","1,086","1,191","16,439","21,493","47,618"
"60601,60602,60603,60604,60605 & 60611",2012,"6,449",212,276,159,82,445,218,145,704,381,440,241,923,101,379,24,30,207,427,"1,055"
"60606,60607 & 60661",2012,"3,540",91,120,109,36,319,115,56,285,182,206,86,719,67,117,10,23,132,134,733
60608,2012,"9,428",330,336,382,182,701,265,169,969,745,876,405,"1,226",194,287,32,33,412,560,"1,324"
60609,2012,"8,930",296,270,303,134,744,326,159,"1,016",678,729,365,"1,278",172,228,36,33,392,460,"1,311"
60610 & 60654,2012,"5,752",183,219,150,58,501,306,144,680,341,429,223,746,89,255,13,14,224,353,824
60612,2012,"6,745",188,193,291,130,756,684,115,782,573,408,235,669,137,179,14,17,300,412,662
60613,2012,"4,840",159,146,129,67,484,153,89,490,269,324,190,719,83,208,*,*,210,288,810
60614,2012,"5,929",243,230,138,77,453,130,129,559,308,407,223,946,96,277,17,12,244,323,"1,117"
60615,2012,"5,304",156,235,204,103,484,364,137,648,390,347,192,578,67,215,13,21,258,280,612
60616,2012,"6,475",356,266,218,112,589,165,142,839,507,505,296,718,97,201,22,22,242,371,807
60617,2012,"13,915",488,555,653,412,812,430,392,"1,854","1,326","1,196",604,"1,195",307,423,42,30,"1,037",811,"1,348"
60618,2012,"9,925",331,355,286,105,581,298,215,954,686,739,306,"1,738",190,354,31,54,314,534,"1,854"
60619,2012,"12,360",403,560,542,391,982,739,290,"1,787","1,099",868,517,967,212,381,23,26,773,676,"1,124"
60620,2012,"13,362",459,603,627,455,"1,322",511,287,"2,092","1,148",903,568,"1,064",218,421,26,22,679,793,"1,164"
60621,2012,"8,240",256,242,349,198,971,665,138,"1,151",788,513,294,770,113,173,24,17,449,392,737
60623,2012,"13,006",317,383,506,340,"1,502",600,254,"1,185","1,143",866,472,"1,817",235,281,51,47,550,715,"1,742"
60624,2012,"9,348",218,258,351,235,"1,017","1,301",205,"1,071",890,552,271,822,174,202,20,21,419,501,820
60625,2012,"9,081",421,289,283,116,882,135,169,853,597,776,348,"1,400",202,267,28,54,323,492,"1,446"
60626,2012,"7,612",419,230,238,131,"1,150",201,159,731,565,598,351,825,149,255,22,26,313,422,827
60628,2012,"12,958",433,630,570,423,"1,058",573,249,"2,143","1,136",930,514,976,243,405,34,27,749,773,"1,092"
60629,2012,"13,879",405,435,550,254,923,405,322,"1,569","1,019","1,135",546,"2,046",255,444,61,59,570,737,"2,144"
60630,2012,"6,431",315,276,210,75,329,117,128,830,494,599,282,724,157,310,12,17,202,392,962
60631,2012,"3,880",252,195,83,46,137,79,82,625,248,374,181,331,67,216,*,*,100,282,566
60632,2012,"9,076",302,312,316,94,426,84,161,755,633,819,400,"1,656",185,257,58,46,306,544,"1,722"
60634,2012,"8,905",394,371,245,103,408,180,184,"1,200",661,826,413,"1,057",178,464,38,27,295,566,"1,295"
60636,2012,"9,022",261,326,361,237,949,713,202,"1,166",879,509,288,842,149,237,20,25,456,486,916
60637,2012,"8,350",227,279,316,208,830,734,196,"1,001",678,512,239,864,143,258,16,37,394,492,926
60638,2012,"6,927",260,293,240,90,301,184,162,"1,004",533,683,356,711,153,389,14,17,254,478,805
60639,2012,"11,268",378,368,462,198,794,337,208,983,984,977,494,"1,725",218,314,50,42,435,619,"1,682"
60640,2012,"10,937",586,311,383,172,"2,033",464,221,"1,135",751,744,381,930,220,336,15,29,411,624,"1,191"
60641,2012,"8,113",255,283,260,105,554,205,158,899,605,739,351,"1,152",182,286,29,37,296,480,"1,237"
60622 & 60642,2012,"8,429",240,229,227,110,629,514,141,766,609,672,324,"1,357",153,225,23,32,276,471,"1,431"
60643,2012,"7,988",392,450,341,198,487,199,195,"1,280",641,728,407,539,140,375,15,15,398,521,667
60644,2012,"12,013",391,333,470,250,"1,598","1,320",221,"1,375","1,056",828,501,917,224,271,20,30,612,634,962
60645,2012,"6,449",417,194,187,121,512,61,105,750,500,504,307,887,115,232,19,30,201,373,934
60646,2012,"3,126",182,166,89,42,150,45,59,492,192,257,182,270,53,193,*,*,113,223,404
60647,2012,"10,279",291,289,363,109,784,387,212,929,811,865,402,"1,606",221,309,28,38,363,631,"1,641"
60649,2012,"9,664",309,311,461,248,"1,051",710,277,"1,230",870,706,383,729,188,265,18,20,604,494,790
60651,2012,"11,381",332,404,439,259,"1,097",914,241,"1,380",999,845,453,"1,183",239,309,19,32,479,622,"1,135"
60652,2012,"5,149",239,293,175,107,267,115,122,667,451,409,252,548,92,228,23,15,212,322,612
60653,2012,"6,335",225,210,245,146,618,538,140,978,540,430,263,496,120,173,12,12,336,325,528
60655,2012,"3,221",120,156,92,29,161,64,82,447,211,244,154,384,72,233,*,*,113,231,409
60656,2012,"3,304",171,160,85,47,129,72,65,434,213,295,151,376,52,189,*,*,70,222,553
60657,2012,"5,937",180,187,139,52,448,141,120,589,333,371,179,"1,006",111,246,31,24,248,351,"1,181"
60659,2012,"4,501",197,154,136,101,294,71,73,575,380,354,183,632,83,149,15,25,154,236,689
60660,2012,"5,317",206,197,191,73,661,140,137,552,354,442,210,548,124,225,*,*,255,327,656
60633,2012,"1,662",34,74,38,20,408,33,37,162,103,103,60,147,35,74,*,*,59,93,171
