Original Dataset,Operated by:,Dataset Description,PROGRAM,SITE NAME,HOURS OF OPERATION,PHONE,LOCATION,FAX,Fax 2,Phone 2,Phone 3,Phone 4,Phone 5,ADMIN,COUNTY,EMAIL,CATEGORY,Website,Additional information,Additional information - 2
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw2,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Northeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,312-744-0784,"2019 Lawrence Avenue
Chicago, IL 60625
(41.96872254686461, -87.68019238203728)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw3,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Southwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,312-747-0440,"6117 Kedzie Avenue
Chicago, IL 60629
(41.78212991978889, -87.70319764951621)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw4,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Northwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,312-744-6681,"3160 Milwaukee Avenue
Chicago, IL 60618
(41.938368983472756, -87.72268832479132)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw5,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Central West,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-746-5300,"2102 Ogden Avenue
Chicago, IL 60612
(41.87104299405995, -87.67859824824583)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw6,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Southeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,312-747-0189,"1767 79th Street
Chicago, IL 60649
(41.751512943458266, -87.5819826459126)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw7,Chicago,"Senior Center locations, hours of operation and contact information.",Regional Senior Center,Renaissance Court,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-744-4550,"78 Washington Street
Chicago, IL 60602
(41.883854158623144, -87.62495524186401)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw8,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Abbott Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-3493,"49 95th Street
Chicago, IL 60619
(41.721658859945016, -87.62236238854524)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw9,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Edgewater,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-744-4016,"5917 Broadway Street
Chicago, IL 60660
(41.98948336912841, -87.66014332799551)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw10,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Englewood,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-3328,"653 657 W 63rd Street
Chicago, IL 60621
(41.77992531402681, -87.63308324283993)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw11,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,West Town,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-743-1016,"1613 Chicago Avenue
Chicago, IL 60622
(41.895752189070784, -87.6682665907951)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw12,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Kelvyn Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-744-4016,"2715 Cicero Avenue
Chicago, IL 60639
(41.92990843974359, -87.74606693954983)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw13,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Auburn Gresham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-4798,"1040 79th Street
Chicago, IL 60620
(41.750577216156685, -87.65029061794029)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw14,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Norwood Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-744-4016,"5801 Natoma Avenue
Chicago, IL 60631
(41.98653177632919, -87.79412346217883)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw15,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Garfield Ridge,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-4250,"5674-B Archer Avenue
Chicago, IL 60638
(41.797226434618594, -87.75315471018392)",,,,,,,,,,,,,
http://data.cityofchicago.org/Health-Human-Services/Senior-Centers/qhfc-4cw16,Chicago,"Senior Center locations, hours of operation and contact information.",Satellite Senior Center,Chatham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,312-745-0385,"8300 Cottage Grove Avenue
Chicago, IL 60619
(41.743344084765305, -87.60553887925143)",,,,,,,,,,,,,
