ZIPAGG,AGEGP,SEXGP,POP1999,POP2000,POP2001,POP2002,POP2003,POP2004,POP2005,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011
06761,00-04,ALL,868,868,933,997,1062,1126,1191,1255,1320,1384,1449,1513,1513
06761,05-14,ALL,1361,1361,1324,1287,1250,1213,1176,1138,1101,1064,1027,990,990
06761,15-24,ALL,3678,3678,3960,4242,4524,4806,5089,5371,5653,5935,6217,6499,6499
06761,25-34,ALL,6769,6769,7400,8030,8661,9291,9922,10552,11183,11813,12444,13074,13074
06761,35-44,ALL,3683,3683,3844,4004,4165,4326,4487,4647,4808,4969,5129,5290,5290
06761,45-54,ALL,2467,2467,2521,2575,2629,2683,2737,2791,2845,2899,2953,3007,3007
06761,55-64,ALL,1410,1410,1487,1563,1640,1717,1794,1870,1947,2024,2100,2177,2177
06761,65-74,ALL,777,777,792,807,822,837,852,867,882,897,912,927,927
06761,75-84,ALL,492,492,480,467,455,442,430,418,405,393,380,368,368
06761,85+,ALL,111,111,115,119,123,127,132,136,140,144,148,152,152
06761,TOTAL,ALL,21616,21616,22854,24092,25330,26568,27807,29045,30283,31521,32759,33997,33997
06761,00-04,FEMALE,415,415,449,483,516,550,584,618,652,685,719,753,753
06761,05-14,FEMALE,651,651,634,616,599,581,564,547,529,512,494,477,477
06761,15-24,FEMALE,1841,1841,2006,2171,2336,2501,2666,2830,2995,3160,3325,3490,3490
06761,25-34,FEMALE,3144,3144,3470,3796,4121,4447,4773,5099,5425,5750,6076,6402,6402
06761,35-44,FEMALE,1625,1625,1693,1761,1830,1898,1966,2034,2102,2171,2239,2307,2307
06761,45-54,FEMALE,1252,1252,1263,1274,1285,1296,1307,1318,1329,1340,1351,1362,1362
06761,55-64,FEMALE,666,666,707,747,788,828,869,910,950,991,1031,1072,1072
06761,65-74,FEMALE,436,436,442,448,453,459,465,471,477,482,488,494,494
06761,75-84,FEMALE,321,321,312,302,293,283,274,264,255,245,236,226,226
06761,85+,FEMALE,85,85,88,91,94,97,101,104,107,110,113,116,116
06761,TOTAL,FEMALE,10436,10436,11062,11689,12315,12941,13568,14194,14820,15446,16073,16699,16699
06761,00-04,MALE,453,453,484,514,545,576,607,637,668,699,729,760,760
06761,05-14,MALE,710,710,690,671,651,631,612,592,572,552,533,513,513
06761,15-24,MALE,1837,1837,1954,2071,2189,2306,2423,2540,2657,2775,2892,3009,3009
06761,25-34,MALE,3625,3625,3930,4234,4539,4844,5149,5453,5758,6063,6367,6672,6672
06761,35-44,MALE,2058,2058,2151,2243,2336,2428,2521,2613,2706,2798,2891,2983,2983
06761,45-54,MALE,1215,1215,1258,1301,1344,1387,1430,1473,1516,1559,1602,1645,1645
06761,55-64,MALE,744,744,780,816,852,888,925,961,997,1033,1069,1105,1105
06761,65-74,MALE,341,341,350,359,369,378,387,396,405,415,424,433,433
06761,75-84,MALE,171,171,168,165,162,159,157,154,151,148,145,142,142
06761,85+,MALE,26,26,27,28,29,30,31,32,33,34,35,36,36
06761,TOTAL,MALE,11180,11180,11792,12404,13015,13627,14239,14851,15463,16074,16686,17298,17298
12311,00-04,ALL,1200,1200,1299,1397,1496,1594,1693,1791,1890,1988,2087,2185,2185
12311,05-14,ALL,1186,1186,1226,1266,1306,1346,1387,1427,1467,1507,1547,1587,1587
12311,15-24,ALL,4695,4695,5318,5941,6565,7188,7811,8434,9057,9681,10304,10927,10927
12311,25-34,ALL,11204,11204,12048,12891,13735,14578,15422,16265,17109,17952,18796,19639,19639
12311,35-44,ALL,7948,7948,8027,8106,8185,8264,8343,8422,8501,8580,8659,8738,8738
12311,45-54,ALL,7079,7079,7094,7108,7123,7137,7152,7167,7181,7196,7210,7225,7225
12311,55-64,ALL,5496,5496,5753,6011,6268,6526,6783,7040,7298,7555,7813,8070,8070
12311,65-74,ALL,3569,3569,3713,3857,4000,4144,4288,4432,4576,4719,4863,5007,5007
12311,75-84,ALL,2023,2023,2071,2118,2166,2213,2261,2309,2356,2404,2451,2499,2499
12311,85+,ALL,662,662,684,707,729,752,774,796,819,841,864,886,886
12311,TOTAL,ALL,45062,45062,47232,49402,51572,53742,55913,58083,60253,62423,64593,66763,66763
12311,00-04,FEMALE,613,613,666,719,772,825,879,932,985,1038,1091,1144,1144
12311,05-14,FEMALE,616,616,636,655,675,694,714,733,753,772,792,811,811
12311,15-24,FEMALE,2433,2433,2815,3197,3579,3961,4343,4724,5106,5488,5870,6252,6252
12311,25-34,FEMALE,5524,5524,5961,6399,6836,7273,7711,8148,8585,9022,9460,9897,9897
12311,35-44,FEMALE,3835,3835,3871,3907,3943,3979,4016,4052,4088,4124,4160,4196,4196
12311,45-54,FEMALE,3794,3794,3789,3783,3778,3772,3767,3761,3756,3750,3745,3739,3739
