ZIPCODE,AGEGP,SEXGP,POP1999,POP2000,POP2001,POP2002,POP2003,POP2004,POP2005,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011
60601,00-04,ALL,173,173,189,204,220,235,251,267,282,298,313,329,329
60601,05-14,ALL,148,148,159,170,181,192,203,214,225,236,247,258,258
60601,15-24,ALL,330,330,467,603,740,876,1013,1150,1286,1423,1559,1696,1696
60601,25-34,ALL,1017,1017,1294,1571,1848,2125,2402,2679,2956,3233,3510,3787,3787
60601,35-44,ALL,1041,1041,1065,1088,1112,1135,1159,1182,1206,1229,1253,1276,1276
60601,45-54,ALL,1128,1128,1134,1139,1145,1150,1156,1162,1167,1173,1178,1184,1184
60601,55-64,ALL,934,934,973,1011,1050,1088,1127,1166,1204,1243,1281,1320,1320
60601,65-74,ALL,492,492,522,551,581,610,640,669,699,728,758,787,787
60601,75-84,ALL,281,281,288,295,302,309,316,322,329,336,343,350,350
60601,85+,ALL,70,70,75,80,85,90,96,101,106,111,116,121,121
60601,TOTAL,ALL,5614,5614,6163,6713,7262,7812,8361,8910,9460,10009,10559,11108,11108
60601,00-04,FEMALE,90,90,99,108,117,126,136,145,154,163,172,181,181
60601,05-14,FEMALE,73,73,78,84,89,94,100,105,110,115,121,126,126
60601,15-24,FEMALE,187,187,268,348,429,509,590,671,751,832,912,993,993
60601,25-34,FEMALE,539,539,665,792,918,1044,1171,1297,1423,1549,1676,1802,1802
60601,35-44,FEMALE,531,531,537,543,549,555,562,568,574,580,586,592,592
60601,45-54,FEMALE,604,604,607,611,614,618,621,624,628,631,635,638,638
60601,55-64,FEMALE,469,469,493,517,541,565,589,612,636,660,684,708,708
60601,65-74,FEMALE,249,249,265,281,297,313,330,346,362,378,394,410,410
60601,75-84,FEMALE,162,162,166,169,173,176,180,183,187,190,194,197,197
60601,85+,FEMALE,53,53,56,59,62,65,68,70,73,76,79,82,82
60601,TOTAL,FEMALE,2957,2957,3234,3511,3789,4066,4343,4620,4897,5175,5452,5729,5729
60601,00-04,MALE,83,83,90,96,103,109,116,122,129,135,142,148,148
60601,05-14,MALE,75,75,81,86,92,98,104,109,115,121,126,132,132
60601,15-24,MALE,143,143,199,255,311,367,423,479,535,591,647,703,703
60601,25-34,MALE,478,478,629,779,930,1081,1232,1382,1533,1684,1834,1985,1985
60601,35-44,MALE,510,510,527,545,562,580,597,614,632,649,667,684,684
60601,45-54,MALE,524,524,526,528,531,533,535,537,539,542,544,546,546
60601,55-64,MALE,465,465,480,494,509,524,539,553,568,583,597,612,612
60601,65-74,MALE,243,243,256,270,283,297,310,323,337,350,364,377,377
60601,75-84,MALE,119,119,122,126,129,133,136,139,143,146,150,153,153
60601,85+,MALE,17,17,19,21,24,26,28,30,32,35,37,39,39
60601,TOTAL,MALE,2657,2657,2929,3201,3474,3746,4018,4290,4562,4835,5107,5379,5379
60602,00-04,ALL,6,6,8,10,13,15,17,19,21,24,26,28,28
60602,05-14,ALL,10,10,12,13,15,17,19,20,22,24,25,27,27
60602,15-24,ALL,6,6,42,78,114,150,187,223,259,295,331,367,367
60602,25-34,ALL,3,3,29,56,82,109,135,161,188,214,241,267,267
60602,35-44,ALL,10,10,22,33,45,57,69,80,92,104,115,127,127
60602,45-54,ALL,13,13,23,34,44,55,65,75,86,96,107,117,117
60602,55-64,ALL,13,13,25,37,49,61,73,84,96,108,120,132,132
60602,65-74,ALL,11,11,18,25,32,39,46,53,60,67,74,81,81
60602,75-84,ALL,5,5,6,7,9,10,11,12,13,15,16,17,17
60602,85+,ALL,0,0,0,1,1,1,2,2,2,2,3,3,3
60602,TOTAL,ALL,77,77,186,295,404,513,622,730,839,948,1057,1166,1166
60602,00-04,FEMALE,4,4,5,7,8,9,11,12,13,14,16,17,17
60602,05-14,FEMALE,4,4,5,6,7,8,9,9,10,11,12,13,13
60602,15-24,FEMALE,3,3,25,48,70,92,115,137,159,181,204,226,226
60602,25-34,FEMALE,1,1,14,27,39,52,65,78,91,103,116,129,129
60602,35-44,FEMALE,4,4,10,16,21,27,33,39,45,50,56,62,62
60602,45-54,FEMALE,5,5,10,15,19,24,29,34,39,43,48,53,53
60602,55-64,FEMALE,3,3,9,15,21,27,34,40,46,52,58,64,64
60602,65-74,FEMALE,2,2,5,8,11,14,17,20,23,26,29,32,32
