Physician Types by Zip Code,,,,,,,2007 total Estimated Population,Primary Care physicians,Specialist physicians,OB-GYN physicians,"Primary Care physicans, federal","Specialist physicians, federal","OB-GYN physcians, federal","primary care physcians, non-federal","specialist physcians, non-federal","OH-GYN physicians, non-federal",Primary Care physicans; clinicall active; IMG,specials; clinicall active; IMG,OH-GYN; clinically acgive; IMG,primary care physicians; clinically active,specialist; clinically active; CMG,OB_GYN; clinicall active; CMG,Primary Care Physcians; Clinicall active; non-IMG,Specialis; clinicall acgtive; non-IMG,OB-GYN; clicincally active; non-IMG,Primary Care physcians <M age 50,specialist physicians < age 50,OB-GYN physicians < age 50,primary care physicians >= age 50,specialist physicians >= age 50,)B-GYN physicians >= age 50,female primare care physicians,females specialist physicians,female B_GYN physicians,Male primare care physicians,male specialist physicians,male OB-GYN physicians,Primary Care Residentsa and fellows,specialist residents and fellows,OB-GYN Residents and fellows,2007 Total estimated civilian population,"MRSA MUA/HPA prim FTEs, non-federal","HRSA MUA/HPSA PRIM + 0.5 semi-retired FTEs, non-federal"
ZCTA,ZCTA_L,ZFIPS_ST,ZCTA_ST,ZCTAXX,PCSA,PCSA_L,Z_POP07,ZG_DOC,ZS_DOC,ZO_DOC,ZG_FEDDOC,ZS_FEDDOC,ZO_FEDDOC,ZG_NFEDDOC,ZS_NFEDDOC,ZO_NFEDDOC,ZG_IMG,ZS_IMG,ZO_IMG,ZG_CMG,ZS_CMG,ZO_CMG,ZG_NIMG,ZS_NIMG,ZO_NIMG,ZG_LT50DOC,ZS_LT50DOC,ZO_LT50DOC,ZG_GT50DOC,ZS_GT50DOC,ZO_GT50DOC,ZG_F_DOC,ZS_F_DOC,ZO_F_DOC,ZG_M_DOC,ZS_M_DOC,ZO_M_DOC,ZG_RESDOC,ZS_RESDOC,ZO_RESDOC,ZCIVIL_07,Z_PRIM4,Z_PRIM4RET
60601,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,7587.0,9.0,63.0,0.0,0.0,1.0,0.0,9.0,62.0,0.0,1.0,15.0,0.0,1.0,3.0,0.0,8.0,48.0,0.0,6.0,18.0,0.0,3.0,45.0,0.0,4.0,17.0,0.0,5.0,46.0,0.0,5.0,14.0,1.0,7587.0,9.8,9.8
60602,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,183.0,22.0,85.0,16.0,0.0,1.0,0.0,22.0,84.0,16.0,4.0,10.0,2.0,0.0,1.0,0.0,18.0,75.0,14.0,11.0,27.0,8.0,11.0,58.0,8.0,4.0,28.0,8.0,18.0,57.0,8.0,0.0,9.0,1.0,183.0,38.0,38.0
60603,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,444.0,14.0,47.0,1.0,0.0,0.0,0.0,14.0,47.0,1.0,1.0,9.0,1.0,0.0,2.0,0.0,13.0,38.0,0.0,12.0,17.0,0.0,2.0,30.0,1.0,9.0,13.0,1.0,5.0,34.0,0.0,0.0,0.0,0.0,53.0,15.0,15.5
60604,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,173.0,11.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,5.0,0.0,9.0,4.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,173.0,11.0,11.0
60605,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,16911.0,19.0,23.0,4.0,0.0,3.0,0.0,19.0,20.0,4.0,9.0,6.0,1.0,1.0,0.0,0.0,10.0,17.0,3.0,11.0,14.0,2.0,8.0,9.0,2.0,12.0,13.0,4.0,7.0,10.0,0.0,23.0,50.0,5.0,15267.0,25.6,25.6
60606,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,2723.0,23.0,8.0,2.0,0.0,0.0,0.0,23.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,2.0,5.0,2.0,0.0,18.0,6.0,2.0,8.0,2.0,1.0,15.0,6.0,1.0,4.0,3.0,2.0,2693.0,25.7,26.1
60607,CHICAGO,17,IL,0.0000,60612,IL03_CHICAGO,19574.0,19.0,52.0,2.0,0.0,2.0,1.0,19.0,50.0,1.0,8.0,16.0,1.0,0.0,1.0,0.0,11.0,36.0,1.0,9.0,25.0,1.0,10.0,27.0,1.0,9.0,13.0,1.0,10.0,39.0,1.0,39.0,88.0,3.0,19306.0,25.2,25.2
60608,CHICAGO,17,IL,0.0000,60608,IL01_CHICAGO,94934.0,125.0,162.0,34.0,3.0,2.0,0.0,122.0,160.0,34.0,76.0,83.0,17.0,1.0,1.0,0.0,49.0,79.0,17.0,64.0,87.0,17.0,61.0,75.0,17.0,43.0,61.0,12.0,82.0,101.0,22.0,18.0,27.0,5.0,84004.0,157.7,158.2
60609,CHICAGO,17,IL,0.0000,60616,IL04_CHICAGO,76045.0,21.0,3.0,1.0,0.0,0.0,0.0,21.0,3.0,1.0,16.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,1.0,0.0,14.0,2.0,1.0,7.0,0.0,0.0,14.0,3.0,1.0,2.0,2.0,0.0,76015.0,22.4,22.4
